"","X.5376B385.492D.34C1.E053.6B04A8C09FF6.","X127000","X2017.05.12.00.00","DE21.4ND","S","N","F","X44","X","RUPERT.ROAD","CHADDESDEN","DERBY","CITY.OF.DERBY","CITY.OF.DERBY.1","A","A.1"
"426","{5376B385-51F1-34C1-E053-6B04A8C09FF6}",3300000,"2017-06-16 00:00","N1 8AF","T","N","F","39","","COLEBROOKE ROW","","LONDON","ISLINGTON","GREATER LONDON","A","A"
"427","{5376B385-51F3-34C1-E053-6B04A8C09FF6}",610000,"2017-04-19 00:00","N5 2JD","F","N","L","62B","","PYRLAND ROAD","","LONDON","ISLINGTON","GREATER LONDON","A","A"
"428","{5376B385-51F5-34C1-E053-6B04A8C09FF6}",380000,"2017-04-12 00:00","RM5 2AA","S","N","F","49","","LOWSHOE LANE","","ROMFORD","HAVERING","GREATER LONDON","A","A"
"429","{5376B385-51F6-34C1-E053-6B04A8C09FF6}",380000,"2017-06-12 00:00","E12 5HY","T","N","F","26","","THE WARREN","","LONDON","NEWHAM","GREATER LONDON","A","A"
"430","{5376B385-51F8-34C1-E053-6B04A8C09FF6}",910000,"2017-05-30 00:00","E3 2JU","S","N","F","CANAL COTTAGES","1","PARNELL ROAD","","LONDON","TOWER HAMLETS","GREATER LONDON","A","A"
"431","{5376B385-51F9-34C1-E053-6B04A8C09FF6}",483388,"2017-04-10 00:00","E14 9HG","F","N","L","1","FLAT 2104","PAN PENINSULA SQUARE","","LONDON","TOWER HAMLETS","GREATER LONDON","A","A"
"432","{5376B385-51FA-34C1-E053-6B04A8C09FF6}",345700,"2017-05-26 00:00","E15 3BE","T","N","F","42","","POND ROAD","","LONDON","NEWHAM","GREATER LONDON","A","A"
"433","{5376B385-51FB-34C1-E053-6B04A8C09FF6}",198000,"2017-05-05 00:00","N16 6AE","F","N","L","ELDER COURT","FLAT 12","SAW MILL WAY","","LONDON","HACKNEY","GREATER LONDON","A","A"
"434","{5376B385-51FC-34C1-E053-6B04A8C09FF6}",360000,"2017-05-24 00:00","E14 8NU","F","N","L","BOWSPRIT POINT, 167","FLAT 71","WESTFERRY ROAD","","LONDON","TOWER HAMLETS","GREATER LONDON","A","A"
"435","{5376B385-51FD-34C1-E053-6B04A8C09FF6}",488000,"2017-01-26 00:00","N5 1FB","F","N","L","SOUTHSTAND APARTMENTS","114","HIGHBURY STADIUM SQUARE","","LONDON","ISLINGTON","GREATER LONDON","A","A"
"436","{5376B385-51FE-34C1-E053-6B04A8C09FF6}",615000,"2017-05-15 00:00","E14 9EZ","F","N","L","15","FLAT 204","INDESCON SQUARE","","LONDON","TOWER HAMLETS","GREATER LONDON","A","A"
