"","X.5376B385.492D.34C1.E053.6B04A8C09FF6.","X127000","X2017.05.12.00.00","DE21.4ND","S","N","F","X44","X","RUPERT.ROAD","CHADDESDEN","DERBY","CITY.OF.DERBY","CITY.OF.DERBY.1","A","A.1"
"509","{582D0636-C79D-8F22-E053-6C04A8C01BAC}",345000,"2017-07-06 00:00","BH9 1QW","D","N","F","121","","STROUDEN ROAD","","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","A","A"
"510","{582D0636-C79E-8F22-E053-6C04A8C01BAC}",152500,"2017-07-25 00:00","BH23 5JT","F","N","L","DANIELS LODGE, 5 - 11","FLAT 29","MONTAGU ROAD","HIGHCLIFFE","CHRISTCHURCH","CHRISTCHURCH","DORSET","A","A"
"511","{582D0636-C79F-8F22-E053-6C04A8C01BAC}",250000,"2017-07-25 00:00","BH12 2ND","D","N","F","41","","CHELTENHAM ROAD","PARKSTONE","POOLE","POOLE","POOLE","A","A"
"512","{582D0636-C7A1-8F22-E053-6C04A8C01BAC}",175000,"2017-07-07 00:00","DT9 4DN","T","N","F","30","","SIMONS ROAD","","SHERBORNE","WEST DORSET","DORSET","A","A"
"513","{582D0636-C7A2-8F22-E053-6C04A8C01BAC}",328000,"2017-07-28 00:00","BH6 5JZ","S","N","F","157","","CRANLEIGH ROAD","SOUTHBOURNE","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","A","A"
"514","{582D0636-C7A3-8F22-E053-6C04A8C01BAC}",375000,"2017-07-28 00:00","DT9 3SD","S","N","F","6","","BEDE STREET","","SHERBORNE","WEST DORSET","DORSET","A","A"
"515","{582D0636-C7A4-8F22-E053-6C04A8C01BAC}",464000,"2017-08-15 00:00","BH18 8NY","D","N","F","58","","LOWER BLANDFORD ROAD","","BROADSTONE","POOLE","POOLE","A","A"
"516","{582D0636-C7A5-8F22-E053-6C04A8C01BAC}",325000,"2017-05-04 00:00","BH5 2ER","F","N","L","3","FLAT 1","PORTMAN CRESCENT","","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","A","A"
"517","{582D0636-C7A6-8F22-E053-6C04A8C01BAC}",148000,"2017-08-14 00:00","DT1 1XL","F","N","L","GROVE COURT","FLAT 57","THE GROVE","","DORCHESTER","WEST DORSET","DORSET","A","A"
"518","{582D0636-C9B9-8F22-E053-6C04A8C01BAC}",535000,"2017-08-15 00:00","BH23 1LU","D","N","F","8","","MANOR ROAD","","CHRISTCHURCH","CHRISTCHURCH","DORSET","A","A"
"519","{582D0636-C9BA-8F22-E053-6C04A8C01BAC}",550000,"2017-08-18 00:00","BH24 2QR","D","N","F","65","","OAKS DRIVE","ST LEONARDS","RINGWOOD","EAST DORSET","DORSET","A","A"
"520","{582D0636-C9BB-8F22-E053-6C04A8C01BAC}",287500,"2017-08-18 00:00","BH14 0DH","T","N","F","21","","MANSFIELD CLOSE","PARKSTONE","POOLE","POOLE","POOLE","A","A"
"521","{582D0636-C9BC-8F22-E053-6C04A8C01BAC}",370000,"2017-08-03 00:00","DT1 1ET","T","N","F","39","","ICEN WAY","","DORCHESTER","WEST DORSET","DORSET","A","A"
"522","{582D0636-C9BD-8F22-E053-6C04A8C01BAC}",275000,"2017-08-22 00:00","BH15 2HQ","T","N","F","19","","SELIOT CLOSE","OAKDALE","POOLE","POOLE","POOLE","A","A"
"523","{582D0636-C9BE-8F22-E053-6C04A8C01BAC}",292240,"2017-06-30 00:00","BH23 4SH","T","N","F","87","","ROWAN DRIVE","","CHRISTCHURCH","CHRISTCHURCH","DORSET","A","A"
"524","{582D0636-C9BF-8F22-E053-6C04A8C01BAC}",168000,"2017-07-31 00:00","DT5 2LA","T","N","F","53","","HAYLANDS","","PORTLAND","WEYMOUTH AND PORTLAND","DORSET","A","A"
"525","{582D0636-C9C0-8F22-E053-6C04A8C01BAC}",262500,"2017-08-11 00:00","BH17 7LX","D","N","F","20","","APSLEY CRESCENT","","POOLE","POOLE","POOLE","A","A"
"526","{582D0636-C9C1-8F22-E053-6C04A8C01BAC}",350000,"2017-08-18 00:00","BH17 7LX","D","N","F","37","","APSLEY CRESCENT","","POOLE","POOLE","POOLE","A","A"
"527","{582D0636-C9C2-8F22-E053-6C04A8C01BAC}",416000,"2017-06-28 00:00","BH9 2TS","D","N","F","30","","THE GROVE","","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","A","A"
"528","{582D0636-C9C3-8F22-E053-6C04A8C01BAC}",307000,"2017-07-27 00:00","BH17 9AR","D","N","F","10","","BERE CLOSE","","POOLE","POOLE","POOLE","A","A"
"529","{582D0636-C9C4-8F22-E053-6C04A8C01BAC}",230000,"2017-07-27 00:00","BH22 8XE","T","N","F","41","","TAMAR CLOSE","","FERNDOWN","EAST DORSET","DORSET","A","A"
"530","{582D0636-C9C5-8F22-E053-6C04A8C01BAC}",225000,"2017-08-11 00:00","DT3 6PU","F","N","L","OVERCOMBE COURT, 1","FLAT A4","PRESTON ROAD","PRESTON","WEYMOUTH","WEYMOUTH AND PORTLAND","DORSET","A","A"
"531","{582D0636-C9C6-8F22-E053-6C04A8C01BAC}",270000,"2017-08-04 00:00","BH10 4BU","S","N","F","9","","FORSYTH GARDENS","","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","A","A"
"532","{582D0636-C9C7-8F22-E053-6C04A8C01BAC}",965000,"2017-07-25 00:00","BH3 7EW","D","N","F","44","","DUNKELD ROAD","","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","A","A"
"533","{582D0636-C9C8-8F22-E053-6C04A8C01BAC}",220000,"2017-08-11 00:00","DT4 7HX","T","N","F","13","","DERBY STREET","","WEYMOUTH","WEYMOUTH AND PORTLAND","DORSET","A","A"
"534","{582D0636-C9C9-8F22-E053-6C04A8C01BAC}",180000,"2017-08-04 00:00","DT4 0BN","T","N","F","66","","CHICKERELL ROAD","","WEYMOUTH","WEYMOUTH AND PORTLAND","DORSET","A","A"
"535","{582D0636-C9CA-8F22-E053-6C04A8C01BAC}",270000,"2017-07-27 00:00","BH14 0AG","D","N","F","564","","ASHLEY ROAD","","POOLE","POOLE","POOLE","A","A"
"536","{582D0636-C9CB-8F22-E053-6C04A8C01BAC}",355000,"2017-08-18 00:00","BH10 6DX","D","N","F","27","","PERSLEY ROAD","NORTHBOURNE","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","A","A"
"537","{582D0636-C9CC-8F22-E053-6C04A8C01BAC}",310000,"2017-07-27 00:00","BH14 0DB","T","N","F","32","","BELMONT ROAD","","POOLE","POOLE","POOLE","A","A"
"538","{582D0636-C9CD-8F22-E053-6C04A8C01BAC}",188000,"2017-08-04 00:00","DT5 1HG","T","N","F","24","","STRAITS","EASTON","PORTLAND","WEYMOUTH AND PORTLAND","DORSET","A","A"
"539","{582D0636-C9CE-8F22-E053-6C04A8C01BAC}",412500,"2017-06-09 00:00","BH31 6QD","S","N","F","16","","AGGIS FARM","","VERWOOD","EAST DORSET","DORSET","A","A"
"540","{582D0636-C9CF-8F22-E053-6C04A8C01BAC}",280000,"2017-08-04 00:00","BH9 3PJ","S","N","F","10","","BRADFORD ROAD","MUSCLIFF","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","A","A"
"541","{582D0636-C9D0-8F22-E053-6C04A8C01BAC}",340000,"2017-07-28 00:00","BH21 3TE","D","N","F","21","","HENBURY RISE","CORFE MULLEN","WIMBORNE","EAST DORSET","DORSET","A","A"
"542","{582D0636-C9D1-8F22-E053-6C04A8C01BAC}",460000,"2017-07-28 00:00","BH23 5BB","D","N","F","23","","GREENWAYS","HIGHCLIFFE","CHRISTCHURCH","CHRISTCHURCH","DORSET","A","A"
"543","{582D0636-C9D2-8F22-E053-6C04A8C01BAC}",382500,"2017-08-18 00:00","BH22 0PQ","S","N","F","4","","TEASEL WAY","WEST MOORS","FERNDOWN","EAST DORSET","DORSET","A","A"
"544","{582D0636-C9D3-8F22-E053-6C04A8C01BAC}",307000,"2017-08-04 00:00","BH21 2BL","S","N","F","4","","BROOKSIDE ROAD","","WIMBORNE","EAST DORSET","DORSET","A","A"
"545","{582D0636-C9D4-8F22-E053-6C04A8C01BAC}",179950,"2017-06-28 00:00","BH6 3NZ","F","N","L","SOUTHBOURNE SANDS, 11","FLAT 40","CLIFTON ROAD","SOUTHBOURNE","BOURNEMOUTH","BOURNEMOUTH","BOURNEMOUTH","A","A"
"546","{582D0636-C9D5-8F22-E053-6C04A8C01BAC}",195000,"2017-08-14 00:00","DT4 0JP","T","N","F","62","","FRANKLIN ROAD","","WEYMOUTH","WEYMOUTH AND PORTLAND","DORSET","A","A"
"547","{582D0636-C9D6-8F22-E053-6C04A8C01BAC}",98000,"2017-07-21 00:00","BH15 1UQ","F","N","L","BUCKINGHAM COURT, 12","FLAT 26","MOUNT PLEASANT ROAD","","POOLE","POOLE","POOLE","A","A"
"548","{582D0636-C9D7-8F22-E053-6C04A8C01BAC}",715000,"2017-08-02 00:00","BH18 8LN","D","N","F","10","","ASHWOOD DRIVE","","BROADSTONE","POOLE","POOLE","A","A"
"549","{582D0636-C9D8-8F22-E053-6C04A8C01BAC}",130000,"2017-08-04 00:00","BH15 1UQ","F","N","L","BUCKINGHAM COURT, 12","FLAT 3","MOUNT PLEASANT ROAD","","POOLE","POOLE","POOLE","A","A"
"550","{582D0636-C9D9-8F22-E053-6C04A8C01BAC}",297000,"2017-08-25 00:00","BH23 7HQ","S","N","F","34","","PRIORY VIEW ROAD","BURTON","CHRISTCHURCH","CHRISTCHURCH","DORSET","A","A"
"551","{582D0636-C9DA-8F22-E053-6C04A8C01BAC}",335000,"2017-07-19 00:00","DT3 5AA","D","N","F","76","","WEYMOUTH BAY AVENUE","","WEYMOUTH","WEYMOUTH AND PORTLAND","DORSET","A","A"
"552","{582D0636-C9DB-8F22-E053-6C04A8C01BAC}",410000,"2017-07-10 00:00","BH21 1AZ","S","N","F","2","","LACY DRIVE","","WIMBORNE","EAST DORSET","DORSET","A","A"
"553","{582D0636-CBE3-8F22-E053-6C04A8C01BAC}",156500,"2017-06-23 00:00","SR7 9JT","D","N","F","14","","PENZANCE COURT","MURTON","SEAHAM","COUNTY DURHAM","COUNTY DURHAM","A","A"
"554","{582D0636-CBE4-8F22-E053-6C04A8C01BAC}",155000,"2017-08-07 00:00","DL3 6EJ","T","N","F","46","","GREENBANK ROAD","","DARLINGTON","DARLINGTON","DARLINGTON","A","A"
"555","{582D0636-CBE5-8F22-E053-6C04A8C01BAC}",380000,"2017-07-21 00:00","TS28 5GA","D","N","F","7","","HARTBUSHES","STATION TOWN","WINGATE","COUNTY DURHAM","COUNTY DURHAM","A","A"
"556","{582D0636-CBE6-8F22-E053-6C04A8C01BAC}",55000,"2017-05-12 00:00","DH7 7BB","S","N","F","5","","COOK AVENUE","BEARPARK","DURHAM","COUNTY DURHAM","COUNTY DURHAM","A","A"
"557","{582D0636-CBE7-8F22-E053-6C04A8C01BAC}",132000,"2017-07-25 00:00","DH9 8TX","S","N","F","34","","THE HAWTHORNS","WEST KYO","STANLEY","COUNTY DURHAM","COUNTY DURHAM","A","A"
"558","{582D0636-CBE8-8F22-E053-6C04A8C01BAC}",64000,"2017-07-14 00:00","DH6 2RU","S","N","L","44","","GRASMERE TERRACE","SOUTH HETTON","DURHAM","COUNTY DURHAM","COUNTY DURHAM","A","A"
"559","{582D0636-CBE9-8F22-E053-6C04A8C01BAC}",129500,"2017-08-15 00:00","NE17 7BE","T","N","F","66","","OAKWELL COURT","HAMSTERLEY COLLIERY","NEWCASTLE UPON TYNE","COUNTY DURHAM","COUNTY DURHAM","A","A"
"560","{582D0636-CBEA-8F22-E053-6C04A8C01BAC}",75000,"2017-07-14 00:00","DH9 6XG","T","N","F","24","","NIGHTINGALE PLACE","","STANLEY","COUNTY DURHAM","COUNTY DURHAM","A","A"
"561","{582D0636-CBEB-8F22-E053-6C04A8C01BAC}",65000,"2017-07-17 00:00","DH9 7QD","T","N","F","61","","PARK ROAD","","STANLEY","COUNTY DURHAM","COUNTY DURHAM","A","A"
"562","{582D0636-CBEC-8F22-E053-6C04A8C01BAC}",78000,"2017-06-30 00:00","DL5 7GA","S","N","F","34","","KESTREL COURT","","NEWTON AYCLIFFE","COUNTY DURHAM","COUNTY DURHAM","A","A"
"563","{582D0636-CBED-8F22-E053-6C04A8C01BAC}",110000,"2017-06-30 00:00","SR5 1JN","S","N","F","151","","NEWCASTLE ROAD","","SUNDERLAND","SUNDERLAND","TYNE AND WEAR","A","A"
"564","{582D0636-CBEE-8F22-E053-6C04A8C01BAC}",63000,"2017-08-11 00:00","SR7 7QR","T","N","F","22","","GARRON STREET","","SEAHAM","COUNTY DURHAM","COUNTY DURHAM","A","A"
"565","{582D0636-CBEF-8F22-E053-6C04A8C01BAC}",65500,"2017-07-19 00:00","SR8 2HG","T","N","F","11","","HAMPSHIRE PLACE","","PETERLEE","COUNTY DURHAM","COUNTY DURHAM","A","A"
"566","{582D0636-CBF0-8F22-E053-6C04A8C01BAC}",85000,"2017-08-11 00:00","DL1 2DL","S","N","F","40","","DUNELM WALK","","DARLINGTON","DARLINGTON","DARLINGTON","A","A"
"567","{582D0636-CBF1-8F22-E053-6C04A8C01BAC}",244000,"2017-07-14 00:00","DL3 8JD","S","N","F","1","","CARMEL GARDENS","","DARLINGTON","DARLINGTON","DARLINGTON","A","A"
"568","{582D0636-CBF2-8F22-E053-6C04A8C01BAC}",130000,"2017-08-04 00:00","SR7 9JT","T","N","F","6","","PENZANCE COURT","MURTON","SEAHAM","COUNTY DURHAM","COUNTY DURHAM","B","A"
"569","{582D0636-CBF3-8F22-E053-6C04A8C01BAC}",78500,"2017-08-11 00:00","DL3 0RR","S","N","F","220","","LONGFIELD ROAD","","DARLINGTON","DARLINGTON","DARLINGTON","A","A"
"570","{582D0636-CBF4-8F22-E053-6C04A8C01BAC}",155000,"2017-07-10 00:00","DL3 0GA","S","N","F","25","","ALVERTON DRIVE","FAVERDALE","DARLINGTON","DARLINGTON","DARLINGTON","A","A"
"571","{582D0636-CBF5-8F22-E053-6C04A8C01BAC}",52000,"2017-08-11 00:00","DH2 1EH","S","N","F","80","","THE WYND","PELTON","CHESTER LE STREET","COUNTY DURHAM","COUNTY DURHAM","A","A"
"572","{582D0636-CBF6-8F22-E053-6C04A8C01BAC}",168000,"2017-08-02 00:00","DL1 3NE","S","N","F","11","","HARTLEA AVENUE","","DARLINGTON","DARLINGTON","DARLINGTON","A","A"
"573","{582D0636-CBF7-8F22-E053-6C04A8C01BAC}",57000,"2017-08-16 00:00","DL15 0EW","T","N","F","33","","BOYNE STREET","WILLINGTON","CROOK","COUNTY DURHAM","COUNTY DURHAM","A","A"
"574","{582D0636-CBF8-8F22-E053-6C04A8C01BAC}",87000,"2017-07-21 00:00","DH1 1JG","S","N","F","63","","HEAVISIDE PLACE","","DURHAM","COUNTY DURHAM","COUNTY DURHAM","A","A"
"575","{582D0636-CBF9-8F22-E053-6C04A8C01BAC}",54000,"2017-06-30 00:00","DL14 9JB","T","N","F","4","","LESLIE STREET","ST HELEN AUCKLAND","BISHOP AUCKLAND","COUNTY DURHAM","COUNTY DURHAM","A","A"
"576","{582D0636-CBFA-8F22-E053-6C04A8C01BAC}",275000,"2017-08-04 00:00","DH9 9QP","D","N","F","6","","THE HAYRICKS","TANFIELD","STANLEY","COUNTY DURHAM","COUNTY DURHAM","A","A"
"577","{582D0636-CBFB-8F22-E053-6C04A8C01BAC}",148000,"2017-07-28 00:00","DH8 9QG","T","N","F","8","","MAUDVILLE","","CONSETT","COUNTY DURHAM","COUNTY DURHAM","A","A"
"578","{582D0636-CBFC-8F22-E053-6C04A8C01BAC}",68000,"2017-08-21 00:00","SR7 0EE","S","N","F","33","","NORMANBY CLOSE","","SEAHAM","COUNTY DURHAM","COUNTY DURHAM","A","A"
"579","{582D0636-CBFE-8F22-E053-6C04A8C01BAC}",330000,"2017-07-26 00:00","TS21 3NP","D","N","F","29","","TURNPIKE WALK","SEDGEFIELD","STOCKTON-ON-TEES","COUNTY DURHAM","COUNTY DURHAM","A","A"
"580","{582D0636-CBFF-8F22-E053-6C04A8C01BAC}",158000,"2017-06-14 00:00","DL3 7SJ","F","N","L","RAYDALESIDE","GARDEN VIEW","STANHOPE ROAD SOUTH","","DARLINGTON","DARLINGTON","DARLINGTON","A","A"
"581","{582D0636-CC00-8F22-E053-6C04A8C01BAC}",118000,"2017-08-09 00:00","DH9 8ST","S","N","F","13","","HEXHAM DRIVE","","STANLEY","COUNTY DURHAM","COUNTY DURHAM","A","A"
"582","{582D0636-CC01-8F22-E053-6C04A8C01BAC}",35000,"2017-02-17 00:00","DL14 9JT","T","N","F","5","","EDITH TERRACE","WEST AUCKLAND","BISHOP AUCKLAND","COUNTY DURHAM","COUNTY DURHAM","A","A"
"583","{582D0636-CC02-8F22-E053-6C04A8C01BAC}",60000,"2017-02-03 00:00","DH9 7HA","T","N","F","59","","THIRD STREET","QUAKING HOUSES","STANLEY","COUNTY DURHAM","COUNTY DURHAM","A","A"
"584","{582D0636-CC03-8F22-E053-6C04A8C01BAC}",119950,"2017-08-04 00:00","DH1 5LH","S","N","F","141","","BEK ROAD","NEWTON HALL","DURHAM","COUNTY DURHAM","COUNTY DURHAM","A","A"
"585","{582D0636-CC04-8F22-E053-6C04A8C01BAC}",140000,"2017-08-15 00:00","DL2 3DF","S","N","F","15","","NEVILLE CLOSE","GAINFORD","DARLINGTON","COUNTY DURHAM","COUNTY DURHAM","A","A"
"586","{582D0636-CE1A-8F22-E053-6C04A8C01BAC}",135000,"2017-07-28 00:00","NG10 4DZ","S","N","F","41","","GRASMERE ROAD","LONG EATON","NOTTINGHAM","EREWASH","DERBYSHIRE","A","A"
"587","{582D0636-CE1B-8F22-E053-6C04A8C01BAC}",139000,"2017-08-18 00:00","DE12 8NG","T","N","F","51","","HARBIN ROAD","WALTON ON TRENT","SWADLINCOTE","SOUTH DERBYSHIRE","DERBYSHIRE","A","A"
"588","{582D0636-CE1C-8F22-E053-6C04A8C01BAC}",160000,"2017-07-07 00:00","DE4 5FG","S","N","F","7","","GOLD HILL","TANSLEY","MATLOCK","DERBYSHIRE DALES","DERBYSHIRE","A","A"
"589","{582D0636-CE1D-8F22-E053-6C04A8C01BAC}",125000,"2017-07-24 00:00","DE11 7QH","S","N","F","2","","FINCH CLOSE","WOODVILLE","SWADLINCOTE","SOUTH DERBYSHIRE","DERBYSHIRE","A","A"
"590","{582D0636-CE1E-8F22-E053-6C04A8C01BAC}",138000,"2017-08-04 00:00","DE75 7GW","S","N","F","48","","BROADWAY","","HEANOR","AMBER VALLEY","DERBYSHIRE","A","A"
"591","{582D0636-CE1F-8F22-E053-6C04A8C01BAC}",220000,"2017-07-06 00:00","S40 3NH","D","N","F","12","","MEDLOCK ROAD","","CHESTERFIELD","CHESTERFIELD","DERBYSHIRE","A","A"
"592","{50F18103-6CB6-9FD5-E050-A8C063054923}",192000,"2017-04-21 00:00","ST4 8UF","D","N","F","18","","MICHIGAN GROVE","","STOKE-ON-TRENT","STOKE-ON-TRENT","STOKE-ON-TRENT","A","A"
"593","{50F18103-6CB7-9FD5-E050-A8C063054923}",100000,"2017-04-13 00:00","ST3 3JJ","S","N","F","30","","ELLERBY ROAD","","STOKE-ON-TRENT","STOKE-ON-TRENT","STOKE-ON-TRENT","A","A"
"594","{50F18103-6CB8-9FD5-E050-A8C063054923}",110000,"2017-03-17 00:00","WS7 3XY","T","N","F","6A","","NEW STREET","CHASETOWN","BURNTWOOD","LICHFIELD","STAFFORDSHIRE","A","A"
"595","{50F18103-6CB9-9FD5-E050-A8C063054923}",73000,"2017-04-12 00:00","ST17 9EB","T","N","F","6","","MERRIVALE ROAD","","STAFFORD","STAFFORD","STAFFORDSHIRE","B","A"
"596","{50F18103-6CBA-9FD5-E050-A8C063054923}",35000,"2017-05-16 00:00","ST6 4BJ","T","N","F","1","","RILEY STREET NORTH","","STOKE-ON-TRENT","STOKE-ON-TRENT","STOKE-ON-TRENT","A","A"
"597","{50F18103-6CBB-9FD5-E050-A8C063054923}",58000,"2017-04-07 00:00","ST3 4NA","T","N","F","3","","DUNROBIN STREET","","STOKE-ON-TRENT","STOKE-ON-TRENT","STOKE-ON-TRENT","A","A"
"598","{50F18103-6CBC-9FD5-E050-A8C063054923}",107950,"2017-04-07 00:00","ST3 2AS","S","N","F","1","","CHERRY GROVE","","STOKE-ON-TRENT","STOKE-ON-TRENT","STOKE-ON-TRENT","A","A"
"599","{50F18103-6EA8-9FD5-E050-A8C063054923}",76000,"2017-04-28 00:00","ST7 8LL","S","N","F","98","","HEATHCOTE ROAD","BIGNALL END","STOKE-ON-TRENT","NEWCASTLE-UNDER-LYME","STAFFORDSHIRE","A","A"
"600","{50F18103-6EA9-9FD5-E050-A8C063054923}",141000,"2017-05-19 00:00","DE14 2AF","S","N","F","16","","WESTON PARK AVENUE","","BURTON-ON-TRENT","EAST STAFFORDSHIRE","STAFFORDSHIRE","A","A"
"601","{50F18103-6EAA-9FD5-E050-A8C063054923}",135000,"2017-05-19 00:00","WS7 1NR","S","N","F","120","","RUGELEY ROAD","CHASE TERRACE","BURNTWOOD","LICHFIELD","STAFFORDSHIRE","A","A"
"602","{50F18103-6EAB-9FD5-E050-A8C063054923}",160000,"2017-05-12 00:00","WS11 1LS","S","N","F","288","","WOLVERHAMPTON ROAD","","CANNOCK","CANNOCK CHASE","STAFFORDSHIRE","A","A"
"603","{50F18103-6EAC-9FD5-E050-A8C063054923}",92000,"2017-04-28 00:00","ST7 8DB","T","N","F","11","","HALL STREET","AUDLEY","STOKE-ON-TRENT","NEWCASTLE-UNDER-LYME","STAFFORDSHIRE","A","A"
"604","{50F18103-6EAD-9FD5-E050-A8C063054923}",180000,"2017-05-19 00:00","WS12 1RB","S","N","F","449","","RAWNSLEY ROAD","HEDNESFORD","CANNOCK","CANNOCK CHASE","STAFFORDSHIRE","A","A"
"605","{50F18103-6EAE-9FD5-E050-A8C063054923}",125000,"2017-04-19 00:00","ST7 8ED","T","N","F","4","","BARLEYFIELDS","AUDLEY","STOKE-ON-TRENT","NEWCASTLE-UNDER-LYME","STAFFORDSHIRE","A","A"
"606","{50F18103-6EAF-9FD5-E050-A8C063054923}",456000,"2017-03-24 00:00","ST15 0BW","D","N","F","OAKMEAD HOUSE","","ASTON LANE","ASTON","STONE","STAFFORD","STAFFORDSHIRE","A","A"
"607","{50F18103-6EB0-9FD5-E050-A8C063054923}",190000,"2017-05-05 00:00","ST18 0UG","T","N","F","3","","CROSSHEADS","COLWICH","STAFFORD","STAFFORD","STAFFORDSHIRE","A","A"
"608","{50F18103-6EB1-9FD5-E050-A8C063054923}",140000,"2017-03-24 00:00","B77 5EN","S","N","F","271","","HOCKLEY ROAD","HOCKLEY","TAMWORTH","TAMWORTH","STAFFORDSHIRE","A","A"
"609","{50F18103-6EB2-9FD5-E050-A8C063054923}",165000,"2017-04-28 00:00","ST15 0EL","S","N","F","24","","RUNNYMEDE","","STONE","STAFFORD","STAFFORDSHIRE","A","A"
"610","{50F18103-6EB3-9FD5-E050-A8C063054923}",130000,"2017-03-31 00:00","ST1 6XJ","D","N","F","5","","DAIRYFIELDS WAY","","STOKE-ON-TRENT","STOKE-ON-TRENT","STOKE-ON-TRENT","A","A"
"611","{50F18103-6EB4-9FD5-E050-A8C063054923}",147000,"2017-04-21 00:00","DE15 9AZ","T","N","F","12","","DALTON AVENUE","STAPENHILL","BURTON-ON-TRENT","EAST STAFFORDSHIRE","STAFFORDSHIRE","A","A"
"612","{50F18103-6EB5-9FD5-E050-A8C063054923}",129000,"2017-05-12 00:00","ST2 7HE","S","N","F","2","","BADDELEY GREEN LANE","","STOKE-ON-TRENT","STOKE-ON-TRENT","STOKE-ON-TRENT","A","A"
"613","{50F18103-6EB8-9FD5-E050-A8C063054923}",167500,"2017-04-27 00:00","ST6 8SQ","S","N","F","20","","MEADOW ROAD","BROWN EDGE","STOKE-ON-TRENT","STAFFORDSHIRE MOORLANDS","STAFFORDSHIRE","A","A"
"614","{50F18103-6EB9-9FD5-E050-A8C063054923}",130000,"2017-05-12 00:00","ST10 4DN","S","N","F","118","","CHEADLE ROAD","TEAN","STOKE-ON-TRENT","STAFFORDSHIRE MOORLANDS","STAFFORDSHIRE","A","A"
"615","{50F18103-6EBA-9FD5-E050-A8C063054923}",330000,"2017-04-26 00:00","WV11 2AA","D","N","F","16","","LONG LANE","ESSINGTON","WOLVERHAMPTON","SOUTH STAFFORDSHIRE","STAFFORDSHIRE","A","A"
"616","{50F18103-6EBB-9FD5-E050-A8C063054923}",150000,"2017-03-31 00:00","ST14 7HE","S","N","F","12","","SCHOOL ROAD","","UTTOXETER","EAST STAFFORDSHIRE","STAFFORDSHIRE","A","A"
"617","{50F18103-6EBC-9FD5-E050-A8C063054923}",148500,"2017-04-28 00:00","WS11 5RW","S","N","F","371","","PYE GREEN ROAD","","CANNOCK","CANNOCK CHASE","STAFFORDSHIRE","A","A"
"618","{50F18103-6EBD-9FD5-E050-A8C063054923}",78000,"2017-04-05 00:00","DE14 3LS","T","N","F","207","","ALL SAINTS ROAD","","BURTON-ON-TRENT","EAST STAFFORDSHIRE","STAFFORDSHIRE","B","A"
"619","{50F18103-6EBE-9FD5-E050-A8C063054923}",100000,"2017-05-12 00:00","ST1 6XL","D","N","F","5","","BETHELL ROAD","","STOKE-ON-TRENT","STOKE-ON-TRENT","STOKE-ON-TRENT","A","A"
"620","{50F18103-6EBF-9FD5-E050-A8C063054923}",240000,"2017-05-15 00:00","DE13 8QE","S","N","F","77","","LIGHTWOOD ROAD","YOXALL","BURTON-ON-TRENT","EAST STAFFORDSHIRE","STAFFORDSHIRE","A","A"
"621","{50F18103-6EC0-9FD5-E050-A8C063054923}",96000,"2017-03-30 00:00","ST17 4DT","T","N","F","28","","SIEMENS ROAD","","STAFFORD","STAFFORD","STAFFORDSHIRE","A","A"
"622","{50F18103-6EC1-9FD5-E050-A8C063054923}",146500,"2017-04-24 00:00","ST16 1QE","S","N","F","136","","FIRST AVENUE","","STAFFORD","STAFFORD","STAFFORDSHIRE","A","A"
"623","{50F18103-6EC2-9FD5-E050-A8C063054923}",164000,"2017-04-06 00:00","WV8 1JE","S","N","F","51","","DOWNIE ROAD","CODSALL","WOLVERHAMPTON","SOUTH STAFFORDSHIRE","STAFFORDSHIRE","A","A"
"624","{50F18103-6EC3-9FD5-E050-A8C063054923}",350000,"2017-04-26 00:00","B77 1PN","D","N","F","40","","SEFTON ROAD","DOSTHILL","TAMWORTH","TAMWORTH","STAFFORDSHIRE","A","A"
"625","{50F18103-6EC4-9FD5-E050-A8C063054923}",139950,"2017-05-05 00:00","ST4 8QQ","D","N","F","57","","CLERMONT AVENUE","","STOKE-ON-TRENT","STOKE-ON-TRENT","STOKE-ON-TRENT","A","A"
"626","{50F18103-6EC5-9FD5-E050-A8C063054923}",305000,"2017-05-10 00:00","WV6 8LZ","D","N","F","26","","BROXWOOD PARK","","WOLVERHAMPTON","WOLVERHAMPTON","WEST MIDLANDS","A","A"
"627","{50F18103-6EC6-9FD5-E050-A8C063054923}",150000,"2017-05-05 00:00","ST5 9BU","S","N","F","235","","LIVERPOOL ROAD","","NEWCASTLE","NEWCASTLE-UNDER-LYME","STAFFORDSHIRE","A","A"
"628","{50F18103-6EC7-9FD5-E050-A8C063054923}",235000,"2017-05-18 00:00","WS6 6ET","S","N","F","15","","WHARWELL LANE","","WALSALL","SOUTH STAFFORDSHIRE","STAFFORDSHIRE","A","A"
"629","{50F18103-6EC8-9FD5-E050-A8C063054923}",154000,"2017-05-12 00:00","ST14 5NL","S","N","F","6","","OAKDEN CLOSE","BRAMSHALL","UTTOXETER","EAST STAFFORDSHIRE","STAFFORDSHIRE","A","A"
